t: 0, i: 0, Train Loss: 0.416, Train Acc: 0.876, Eval Loss: 0.309, Eval Acc: 0.912
t: 0, i: 1, Train Loss: 0.297, Train Acc: 0.915, Eval Loss: 0.275, Eval Acc: 0.920
t: 0, i: 2, Train Loss: 0.285, Train Acc: 0.919, Eval Loss: 0.276, Eval Acc: 0.922
t: 0, i: 3, Train Loss: 0.277, Train Acc: 0.921, Eval Loss: 0.273, Eval Acc: 0.922
t: 0, i: 4, Train Loss: 0.271, Train Acc: 0.923, Eval Loss: 0.273, Eval Acc: 0.920
t: 0, i: 5, Train Loss: 0.267, Train Acc: 0.924, Eval Loss: 0.274, Eval Acc: 0.920
t: 0, i: 6, Train Loss: 0.263, Train Acc: 0.925, Eval Loss: 0.266, Eval Acc: 0.922
t: 0, i: 7, Train Loss: 0.260, Train Acc: 0.925, Eval Loss: 0.263, Eval Acc: 0.924
t: 0, i: 8, Train Loss: 0.257, Train Acc: 0.927, Eval Loss: 0.260, Eval Acc: 0.926
t: 0, i: 9, Train Loss: 0.255, Train Acc: 0.928, Eval Loss: 0.266, Eval Acc: 0.925
t: 0, i: 10, Train Loss: 0.251, Train Acc: 0.929, Eval Loss: 0.259, Eval Acc: 0.926
t: 0, i: 11, Train Loss: 0.250, Train Acc: 0.929, Eval Loss: 0.261, Eval Acc: 0.925
t: 0, i: 12, Train Loss: 0.248, Train Acc: 0.930, Eval Loss: 0.259, Eval Acc: 0.926
t: 0, i: 13, Train Loss: 0.246, Train Acc: 0.930, Eval Loss: 0.265, Eval Acc: 0.924
t: 0, i: 14, Train Loss: 0.244, Train Acc: 0.931, Eval Loss: 0.253, Eval Acc: 0.927
t: 0, i: 15, Train Loss: 0.242, Train Acc: 0.931, Eval Loss: 0.267, Eval Acc: 0.924
t: 0, i: 16, Train Loss: 0.240, Train Acc: 0.931, Eval Loss: 0.268, Eval Acc: 0.924
t: 0, i: 17, Train Loss: 0.239, Train Acc: 0.932, Eval Loss: 0.261, Eval Acc: 0.925
t: 0, i: 18, Train Loss: 0.238, Train Acc: 0.932, Eval Loss: 0.262, Eval Acc: 0.926
t: 0, i: 19, Train Loss: 0.236, Train Acc: 0.933, Eval Loss: 0.269, Eval Acc: 0.924
t: 0, i: 20, Train Loss: 0.235, Train Acc: 0.933, Eval Loss: 0.268, Eval Acc: 0.925
t: 0, i: 21, Train Loss: 0.234, Train Acc: 0.933, Eval Loss: 0.259, Eval Acc: 0.927
t: 0, i: 22, Train Loss: 0.233, Train Acc: 0.933, Eval Loss: 0.265, Eval Acc: 0.925
t: 0, i: 23, Train Loss: 0.232, Train Acc: 0.934, Eval Loss: 0.262, Eval Acc: 0.927
t: 0, i: 24, Train Loss: 0.231, Train Acc: 0.933, Eval Loss: 0.265, Eval Acc: 0.925
t: 0, i: 25, Train Loss: 0.230, Train Acc: 0.934, Eval Loss: 0.262, Eval Acc: 0.926
t: 0, i: 26, Train Loss: 0.229, Train Acc: 0.934, Eval Loss: 0.264, Eval Acc: 0.925
t: 0, i: 27, Train Loss: 0.228, Train Acc: 0.935, Eval Loss: 0.263, Eval Acc: 0.926
t: 0, i: 28, Train Loss: 0.227, Train Acc: 0.934, Eval Loss: 0.270, Eval Acc: 0.925
t: 0, i: 29, Train Loss: 0.227, Train Acc: 0.935, Eval Loss: 0.266, Eval Acc: 0.926
t: 0, i: 30, Train Loss: 0.226, Train Acc: 0.935, Eval Loss: 0.268, Eval Acc: 0.925
t: 0, i: 31, Train Loss: 0.225, Train Acc: 0.935, Eval Loss: 0.267, Eval Acc: 0.927
t: 0, i: 32, Train Loss: 0.225, Train Acc: 0.936, Eval Loss: 0.270, Eval Acc: 0.923
t: 0, i: 33, Train Loss: 0.224, Train Acc: 0.935, Eval Loss: 0.270, Eval Acc: 0.924
t: 0, i: 34, Train Loss: 0.223, Train Acc: 0.935, Eval Loss: 0.270, Eval Acc: 0.925
t: 0, i: 35, Train Loss: 0.222, Train Acc: 0.936, Eval Loss: 0.268, Eval Acc: 0.926
t: 0, i: 36, Train Loss: 0.222, Train Acc: 0.937, Eval Loss: 0.271, Eval Acc: 0.927
t: 0, i: 37, Train Loss: 0.221, Train Acc: 0.936, Eval Loss: 0.273, Eval Acc: 0.925
t: 0, i: 38, Train Loss: 0.221, Train Acc: 0.936, Eval Loss: 0.270, Eval Acc: 0.925
t: 0, i: 39, Train Loss: 0.220, Train Acc: 0.936, Eval Loss: 0.274, Eval Acc: 0.921
t: 0, i: 40, Train Loss: 0.220, Train Acc: 0.936, Eval Loss: 0.274, Eval Acc: 0.924
t: 0, i: 41, Train Loss: 0.220, Train Acc: 0.936, Eval Loss: 0.273, Eval Acc: 0.924
t: 0, i: 42, Train Loss: 0.219, Train Acc: 0.937, Eval Loss: 0.273, Eval Acc: 0.924
t: 0, i: 43, Train Loss: 0.219, Train Acc: 0.937, Eval Loss: 0.276, Eval Acc: 0.924
t: 0, i: 44, Train Loss: 0.218, Train Acc: 0.937, Eval Loss: 0.276, Eval Acc: 0.927
t: 0, i: 45, Train Loss: 0.218, Train Acc: 0.937, Eval Loss: 0.270, Eval Acc: 0.926
t: 0, i: 46, Train Loss: 0.218, Train Acc: 0.937, Eval Loss: 0.272, Eval Acc: 0.927
t: 0, i: 47, Train Loss: 0.217, Train Acc: 0.937, Eval Loss: 0.274, Eval Acc: 0.926
t: 0, i: 48, Train Loss: 0.217, Train Acc: 0.937, Eval Loss: 0.279, Eval Acc: 0.924
t: 0, i: 49, Train Loss: 0.216, Train Acc: 0.938, Eval Loss: 0.268, Eval Acc: 0.927
t: 10, i: 0, Train Loss: 0.475, Train Acc: 0.850, Eval Loss: 0.363, Eval Acc: 0.895
t: 10, i: 1, Train Loss: 0.286, Train Acc: 0.919, Eval Loss: 0.343, Eval Acc: 0.900
t: 10, i: 2, Train Loss: 0.269, Train Acc: 0.923, Eval Loss: 0.375, Eval Acc: 0.890
t: 10, i: 3, Train Loss: 0.260, Train Acc: 0.927, Eval Loss: 0.361, Eval Acc: 0.894
t: 10, i: 4, Train Loss: 0.252, Train Acc: 0.928, Eval Loss: 0.421, Eval Acc: 0.871
t: 10, i: 5, Train Loss: 0.246, Train Acc: 0.929, Eval Loss: 0.415, Eval Acc: 0.874
t: 10, i: 6, Train Loss: 0.241, Train Acc: 0.931, Eval Loss: 0.423, Eval Acc: 0.873
t: 10, i: 7, Train Loss: 0.236, Train Acc: 0.933, Eval Loss: 0.457, Eval Acc: 0.862
t: 10, i: 8, Train Loss: 0.232, Train Acc: 0.933, Eval Loss: 0.423, Eval Acc: 0.876
t: 10, i: 9, Train Loss: 0.228, Train Acc: 0.935, Eval Loss: 0.500, Eval Acc: 0.849
t: 10, i: 10, Train Loss: 0.225, Train Acc: 0.935, Eval Loss: 0.492, Eval Acc: 0.851
t: 10, i: 11, Train Loss: 0.222, Train Acc: 0.936, Eval Loss: 0.479, Eval Acc: 0.854
t: 10, i: 12, Train Loss: 0.219, Train Acc: 0.937, Eval Loss: 0.518, Eval Acc: 0.845
t: 10, i: 13, Train Loss: 0.217, Train Acc: 0.937, Eval Loss: 0.503, Eval Acc: 0.850
